#  Table M87_ima1isof.tab  Wed 13:40:00 09-Jan-2013

# row     SMA     INTENS    INT_ERR   PIX_VAR       RMS  ELLIP ELLIP_ERR      PA
#       pixel                                                            degrees

    1    0.00     20286.      INDEF     INDEF     INDEF  INDEF     INDEF   INDEF
  140  139.00       825.      0.846      34.7      24.5 0.0664    0.0021  -30.60
  141  140.00       818.       0.93      38.3      27.1 0.0676    0.0023  -29.25
  142  141.00       812.      0.954      39.4      27.8 0.0707    0.0023  -29.25
  143  142.00       807.      0.974      40.3      28.5 0.0746    0.0023  -31.47
  144  143.00       803.      0.984      40.8      28.8 0.0793    0.0024  -32.12
  145  144.00       797.      0.991      41.2      29.1 0.0807    0.0024  -31.21
  146  145.00       785.      0.911       38.      26.9 0.0793    0.0022  -31.79
  147  146.00       773.      0.816      34.2      24.2 0.0745    0.0021  -31.37
  148  147.00       764.      0.827      34.8      24.6 0.0738    0.0021  -32.20
  149  148.00       755.      0.805       34.       24. 0.0738    0.0021  -31.93
  150  149.00       748.      0.758      32.1      22.7 0.0756    0.0020  -31.58
  151  150.00       741.      0.776       33.      23.3 0.0770    0.0021  -30.45
  152  151.00       734.       0.76      32.4      22.9 0.0775    0.0020  -32.18
  153  152.00       724.      0.731      31.3      22.1 0.0730    0.0020  -32.61
  154  153.00       719.      0.795      34.1      24.1 0.0752    0.0022  -32.05
  155  154.00       709.      0.807      34.8      24.6 0.0679    0.0022  -33.07
  156  155.00       703.      0.797      34.5      24.4 0.0701    0.0022  -32.19
  157  156.00       701.      0.818      35.5      25.1 0.0755    0.0023  -33.68
  158  157.00       693.      0.781      33.9       24. 0.0742    0.0022  -32.47
  159  158.00       686.      0.772      33.6      23.8 0.0767    0.0023  -32.47
  160  159.00       677.      0.731       32.      22.6 0.0724    0.0021  -32.81
  161  160.00       668.      0.735      32.3      22.9 0.0676    0.0022  -33.33
  162  161.00       662.      0.758      33.5      23.7 0.0653    0.0023  -32.32
  163  162.00       658.      0.749      33.2      23.4 0.0685    0.0023  -32.26
  164  163.00       653.      0.769      34.1      24.1 0.0707    0.0023  -31.27
  165  164.00       648.      0.736      32.7      23.1 0.0713    0.0022  -31.34
  166  165.00       638.      0.752      33.6      23.7 0.0710    0.0023  -31.34
  167  166.00       636.       0.79      35.3       25. 0.0761    0.0025  -31.34
  168  167.00       633.      0.783      35.1      24.8 0.0789    0.0024  -32.57
  169  168.00       627.       0.71      31.9      22.6 0.0769    0.0021  -32.67
  170  169.00       619.      0.757      34.1      24.1 0.0763    0.0023  -31.85
  171  170.00       616.      0.748      33.8      23.9 0.0788    0.0023  -30.83
  172  171.00       611.      0.737      33.4      23.6 0.0781    0.0023  -31.84
  173  172.00       608.      0.716      32.5       23. 0.0804    0.0022  -32.70
  174  173.00       603.      0.733      33.4      23.6 0.0821    0.0022  -33.14
  175  174.00       599.      0.775      35.4       25. 0.0846    0.0024  -32.72
  176  175.00       594.      0.757      34.6      24.5 0.0847    0.0024  -32.72
  177  176.00       589.      0.742      34.1      24.1 0.0862    0.0024  -33.05
  178  177.00       583.      0.725      33.4      23.6 0.0838    0.0023  -33.05
  179  178.00       578.      0.737      34.1      24.1 0.0823    0.0024  -31.41
  180  179.00       573.       0.76      35.2      24.9 0.0823    0.0025  -33.00
  181  180.00       567.      0.708      32.9      23.2 0.0823    0.0024  -33.00
  182  181.00       562.      0.693      32.3      22.8 0.0823    0.0024  -30.95
  183  182.00       557.       0.68      31.8      22.5 0.0823    0.0023  -30.98
  184  183.00       555.      0.685      32.1      22.7 0.0875    0.0024  -32.20
  185  184.00       547.      0.657      30.9      21.8 0.0802    0.0024  -33.01
  186  185.00       541.      0.659      31.1       22. 0.0802    0.0025  -30.39
  187  186.00       538.      0.656       31.      21.9 0.0830    0.0025  -31.94
  188  187.00       533.      0.665      31.5      22.3 0.0791    0.0025  -34.90
  189  188.00       527.      0.667      31.7      22.4 0.0791    0.0026  -34.90
  190  189.00       523.       0.62      29.5      20.9 0.0791    0.0023  -33.35
  191  190.00       518.      0.655      31.3      22.1 0.0796    0.0027  -33.35
  192  191.00       516.      0.654      31.3      22.1 0.0835    0.0026  -33.15
  193  192.00       514.      0.675      32.4      22.9 0.0844    0.0025  -32.01
  194  193.00       507.      0.668      32.1      22.7 0.0785    0.0026  -32.01
  195  194.00       503.       0.67      32.3      22.9 0.0785    0.0026  -32.01
  196  195.00       500.      0.637      30.8      21.8 0.0816    0.0025  -31.66
  197  196.00       498.      0.676      32.8      23.2 0.0823    0.0027  -32.78
  198  197.00       496.      0.661      32.1      22.7 0.0853    0.0026  -33.09
  199  198.00       490.       0.66      32.2      22.8 0.0826    0.0026  -32.09
  200  199.00       488.      0.639      31.2      22.1 0.0857    0.0026  -30.77
  201  200.00       484.      0.622      30.4      21.5 0.0846    0.0026  -32.81
  202  201.00       479.      0.671       33.      23.3 0.0810    0.0028  -32.46
  203  202.00       477.      0.671       33.      23.3 0.0837    0.0028  -32.46
  204  203.00       474.      0.684      33.7      23.9 0.0837    0.0027  -32.19
  205  204.00       471.      0.696      34.4      24.3 0.0840    0.0029  -32.19
  206  205.00       468.      0.677      33.5      23.7 0.0852    0.0029  -31.34
  207  206.00       462.      0.704       35.      24.7 0.0818    0.0029  -31.34
  208  207.00       460.      0.673      33.5      23.7 0.0836    0.0028  -31.34
  209  208.00       459.      0.687      34.3      24.2 0.0872    0.0028  -29.50
  210  209.00       455.      0.701       35.      24.8 0.0884    0.0031  -29.45
  211  210.00       450.      0.662      33.2      23.5 0.0850    0.0029  -29.45
  212  211.00       449.      0.639      32.1      22.7 0.0870    0.0027  -30.64
  213  212.00       449.      0.637       32.      22.6 0.0918    0.0026  -31.45
  214  213.00       443.      0.594       30.      21.2 0.0918    0.0025  -31.45
  215  214.00       440.      0.596      30.1      21.3 0.0918    0.0026  -31.45
  216  215.00       442.      0.625      31.6      22.3 0.0993    0.0027  -34.39
  217  216.00       436.      0.616      31.2      22.1 0.0993    0.0027  -34.39
  218  217.00       434.      0.578      29.3      20.7 0.1002    0.0025  -34.02
  219  218.00       432.      0.624      31.8      22.5 0.1009    0.0027  -32.79
  220  219.00       433.      0.682      34.7      24.5 0.1076    0.0028  -32.79
  221  220.00       432.      0.731      37.2      26.3 0.1118    0.0031  -32.79
  222  221.00       429.      0.731      37.3      26.4 0.1114    0.0030  -34.39
  223  222.00       424.      0.691      35.4       25. 0.1065    0.0029  -33.71
  224  223.00       419.      0.666      34.2      24.2 0.1032    0.0030  -34.37
  225  224.00       415.      0.675      34.8      24.6 0.1032    0.0030  -34.37
  226  225.00       413.       0.64       33.      23.3 0.1047    0.0029  -33.75
  227  226.00       410.       0.62      32.1      22.7 0.1036    0.0028  -34.66
  228  227.00       406.      0.589      30.6      21.6 0.1004    0.0027  -34.66
  229  228.00       404.      0.603      31.3      22.2 0.1013    0.0028  -34.66
  230  229.00       400.      0.595       31.      21.9 0.1013    0.0029  -34.66
  231  230.00       398.      0.578      30.2      21.4 0.1013    0.0028  -34.66
  232  231.00       394.      0.567      29.7       21. 0.1010    0.0027  -34.58
  233  232.00       393.      0.566      29.7       21. 0.1054    0.0027  -33.57
  234  233.00       390.      0.581      30.5      21.6 0.1028    0.0029  -33.57
  235  234.00       388.      0.574      30.2      21.4 0.1028    0.0028  -33.57
  236  235.00       388.      0.581      30.6      21.6 0.1090    0.0028  -32.22
  237  236.00       383.      0.575      30.4      21.5 0.1041    0.0028  -31.22
  238  237.00       382.      0.556      29.4      20.8 0.1041    0.0026  -32.73
  239  238.00       379.      0.607      32.2      22.8 0.1041    0.0029  -32.73
  240  239.00       377.      0.617      32.8      23.2 0.1060    0.0030  -33.72
  241  240.00       375.      0.609      32.4      22.9 0.1065    0.0030  -33.72
  242  241.00       373.      0.606      32.4      22.9 0.1065    0.0031  -33.72
  243  242.00       369.       0.58       31.      21.9 0.1065    0.0031  -33.72
  244  243.00       368.      0.569      30.5      21.5 0.1088    0.0029  -33.43
  245  244.00       364.      0.539       29.      20.5 0.1028    0.0027  -33.78
  246  245.00       361.      0.536      28.9      20.4 0.1028    0.0028  -33.78
  247  246.00       361.      0.524      28.3       20. 0.1062    0.0026  -33.78
  248  247.00       360.      0.538      29.1      20.6 0.1062    0.0028  -33.78
  249  248.00       356.      0.542      29.4      20.8 0.1062    0.0029  -35.18
  250  249.00       354.      0.546      29.6       21. 0.1062    0.0029  -34.23
  251  250.00       353.       0.56      30.4      21.5 0.1098    0.0029  -34.23
  252  251.00       349.      0.562      30.7      21.7 0.1017    0.0029  -34.23
  253  252.00       348.      0.544      29.7       21. 0.1052    0.0027  -34.23
  254  253.00       343.      0.594      32.5       23. 0.0991    0.0031  -33.70
  255  254.00       338.      0.638      35.1      24.8 0.0937    0.0035  -32.41
  256  255.00       339.      0.642      35.3       25. 0.0976    0.0034  -34.08
  257  256.00       337.      0.645      35.6      25.2 0.0975    0.0035  -34.08
  258  257.00       337.      0.636      35.1      24.8 0.1032    0.0033  -32.85
  259  258.00       335.       0.62      34.3      24.2 0.1032    0.0031  -32.85
  260  259.00       334.      0.608      33.7      23.8 0.1032    0.0031  -34.82
  261  260.00       331.      0.562      31.2       22. 0.1048    0.0029  -34.03
  262  261.00       329.      0.555      30.8      21.8 0.1048    0.0029  -31.90
  263  262.00       326.       0.56      31.2       22. 0.1048    0.0031  -31.90
  264  263.00       325.       0.55      30.7      21.7 0.1048    0.0030  -32.83
  265  264.00       323.      0.576      32.2      22.7 0.1067    0.0032  -31.98
  266  265.00       322.      0.607       34.       24. 0.1067    0.0033  -30.78
  267  266.00       322.      0.609      34.1      24.1 0.1127    0.0034  -31.48
  268  267.00       319.      0.586      32.9      23.3 0.1082    0.0032  -31.82
  269  268.00       319.      0.618      34.7      24.5 0.1144    0.0033  -33.19
  270  269.00       314.      0.587      33.1      23.4 0.1080    0.0032  -33.19
  271  270.00       313.      0.589      33.2      23.5 0.1112    0.0032  -34.04
  272  271.00       311.      0.542      30.6      21.7 0.1112    0.0029  -34.04
  273  272.00       310.      0.554      31.4      22.2 0.1112    0.0031  -35.65
  274  273.00       310.      0.567      32.1      22.7 0.1162    0.0029  -35.71
  275  274.00       308.      0.551      31.3      22.1 0.1162    0.0031  -34.05
  276  275.00       304.      0.539      30.7      21.7 0.1096    0.0031  -34.05
  277  276.00       305.      0.542      30.9      21.8 0.1179    0.0030  -34.67
  278  277.00       301.      0.526       30.      21.2 0.1132    0.0030  -31.97
  279  278.00       298.      0.532      30.4      21.5 0.1132    0.0032  -33.75
  280  279.00       298.      0.519      29.7       21. 0.1154    0.0031  -34.54
  281  280.00       296.      0.501      28.8      20.3 0.1154    0.0030  -34.54
  282  281.00       295.      0.494      28.4      20.1 0.1156    0.0030  -34.54
  283  282.00       293.      0.535      30.8      21.8 0.1156    0.0032  -34.54
  284  283.00       292.      0.498      28.8      20.3 0.1156    0.0030  -34.54
  285  284.00       289.      0.522      30.2      21.3 0.1156    0.0032  -34.07
  286  285.00       288.      0.504      29.2      20.6 0.1156    0.0030  -34.07
  287  286.00       287.      0.521      30.2      21.4 0.1156    0.0032  -31.48
  288  287.00       284.      0.511      29.7       21. 0.1156    0.0031  -31.82
  289  288.00       283.       0.53      30.8      21.8 0.1156    0.0033  -32.99
  290  289.00       282.       0.51      29.7       21. 0.1156    0.0032  -35.60
  291  290.00       280.      0.516      30.1      21.3 0.1192    0.0032  -34.80
  292  291.00       279.      0.501      29.3      20.7 0.1192    0.0030  -34.80
  293  292.00       278.      0.507      29.7       21. 0.1192    0.0031  -34.80
  294  293.00       275.      0.498      29.2      20.7 0.1192    0.0031  -33.36
  295  294.00       275.      0.496      29.1      20.6 0.1192    0.0030  -32.15
  296  295.00       270.      0.488      28.8      20.3 0.1124    0.0031  -32.15
  297  296.00       272.      0.489      28.8      20.4 0.1213    0.0030  -32.71
  298  297.00       270.      0.476      28.1      19.9 0.1213    0.0031  -32.71
  299  298.00       269.      0.465      27.5      19.4 0.1213    0.0029  -34.74
  300  299.00       267.      0.487      28.8      20.4 0.1213    0.0032  -34.74
  301  300.00       265.      0.476      28.2       20. 0.1213    0.0030  -34.74
  302  301.00       263.      0.482      28.7      20.3 0.1156    0.0030  -33.14
  303  302.00       261.      0.483      28.8      20.3 0.1183    0.0033  -33.14
  304  303.00       261.      0.493      29.4      20.8 0.1202    0.0030  -33.14
  305  304.00       262.      0.483      28.7      20.3 0.1297    0.0030  -33.14
  306  305.00       261.      0.495      29.5      20.9 0.1297    0.0031  -33.14
  307  306.00       260.       0.53      31.6      22.4 0.1297    0.0032  -34.04
  308  307.00       261.      0.656      39.2      27.7 0.1360    0.0042  -34.04
  309  308.00       258.      0.618      36.9      26.1 0.1360    0.0039  -34.04
  310  309.00       257.      0.658      39.4      27.9 0.1338    0.0041  -35.71
  311  310.00       254.      0.561      33.7      23.9 0.1253    0.0036  -35.71
  312  311.00       253.      0.544      32.8      23.2 0.1253    0.0037  -35.71
  313  312.00       252.      0.522      31.5      22.3 0.1284    0.0036  -35.39
  314  313.00       250.       0.51      30.8      21.8 0.1275    0.0036  -35.06
  315  314.00       248.      0.488      29.5      20.9 0.1275    0.0036  -35.06
  316  315.00       246.       0.48      29.1      20.6 0.1266    0.0036  -35.06
  317  316.00       244.      0.471      28.6      20.2 0.1266    0.0034  -35.06
  318  317.00       244.      0.477      29.1      20.5 0.1266    0.0035  -32.44
  319  318.00       241.      0.461      28.1      19.9 0.1206    0.0034  -33.00
  320  319.00       241.      0.465      28.4      20.1 0.1259    0.0033  -33.24
  321  320.00       240.      0.448      27.4      19.4 0.1259    0.0033  -33.24
  322  321.00       239.      0.476      29.2      20.6 0.1259    0.0034  -33.24
  323  322.00       238.      0.454      27.8      19.7 0.1259    0.0031  -33.24
  324  323.00       236.      0.458      28.1      19.9 0.1259    0.0033  -32.71
  325  324.00       236.      0.469      28.9      20.4 0.1288    0.0032  -32.71
  326  325.00       234.      0.457      28.2      19.9 0.1288    0.0034  -32.71
  327  326.00       234.      0.443      27.3      19.3 0.1322    0.0032  -31.89
  328  327.00       231.      0.441      27.3      19.3 0.1262    0.0033  -32.98
  329  328.00       232.      0.456      28.2      19.9 0.1343    0.0034  -34.01
  330  329.00       227.      0.462      28.7      20.3 0.1237    0.0034  -34.01
  331  330.00       228.      0.457      28.4      20.1 0.1269    0.0033  -32.85
  332  331.00       228.      0.458      28.4      20.1 0.1346    0.0034  -32.85
  333  332.00       223.       0.47      29.3      20.7 0.1227    0.0035  -32.85
  334  333.00       224.      0.442      27.6      19.5 0.1246    0.0034  -29.90
  335  334.00       223.      0.447      27.9      19.7 0.1273    0.0036  -30.58
  336  335.00       224.      0.462      28.8      20.4 0.1347    0.0035  -30.58
  337  336.00       221.       0.49      30.6      21.7 0.1313    0.0040  -30.58
  338  337.00       222.      0.598      37.5      26.5 0.1320    0.0052  -28.50
  339  338.00       223.      0.741      46.4      32.8 0.1378    0.0057  -28.50
  340  339.00       224.      0.742      46.5      32.8 0.1459    0.0051  -30.65
  341  340.00       223.      0.727      45.5      32.2 0.1466    0.0052  -29.41
  342  341.00       222.      0.666      41.8      29.5 0.1466    0.0052  -29.41
  343  342.00       219.       0.58      36.4      25.8 0.1466    0.0050  -29.41
  344  343.00       219.      0.609      38.3      27.1 0.1466    0.0049  -31.34
  345  344.00       217.       0.56      35.4       25. 0.1350    0.0045  -29.15
  346  345.00       215.      0.554      35.1      24.8 0.1350    0.0050  -31.35
  347  346.00       217.      0.543      34.3      24.3 0.1468    0.0049  -31.35
  348  347.00       215.       0.53      33.6      23.8 0.1401    0.0042  -31.35
  349  348.00       212.      0.513      32.6       23. 0.1401    0.0041  -31.35
  350  349.00       211.      0.491      31.2      22.1 0.1401    0.0039  -31.35
  351  350.00       210.      0.483      30.8      21.8 0.1401    0.0038  -32.50
  352  351.00       208.      0.455       29.      20.5 0.1401    0.0034  -32.50
  353  352.00       207.      0.447      28.6      20.2 0.1401    0.0034  -34.40
  354  353.00       206.       0.48      30.7      21.7 0.1401    0.0038  -34.40
  355  354.00       206.      0.505      32.4      22.9 0.1378    0.0037  -31.69
  356  355.00       207.      0.515       33.      23.3 0.1425    0.0038  -31.79
  357  356.00       206.       0.53       34.       24. 0.1462    0.0038  -31.28
  358  357.00       205.      0.515       33.      23.4 0.1462    0.0038  -31.28
  359  358.00       202.      0.476      30.7      21.7 0.1404    0.0037  -30.24
  360  359.00       201.      0.452      29.2      20.6 0.1404    0.0037  -32.12
  361  360.00       199.      0.443      28.6      20.3 0.1404    0.0036  -32.12
  362  361.00       197.      0.435      28.2      19.9 0.1364    0.0035  -32.12
  363  362.00       196.      0.428      27.7      19.6 0.1364    0.0036  -32.12
  364  363.00       196.      0.448      29.1      20.6 0.1364    0.0037  -32.12
  365  364.00       195.      0.436      28.3       20. 0.1364    0.0037  -32.12
  366  365.00       197.      0.461      29.9      21.1 0.1493    0.0039  -29.31
  367  366.00       196.      0.473      30.7      21.7 0.1493    0.0041  -29.31
  368  367.00       196.      0.494      32.1      22.7 0.1493    0.0042  -29.31
  369  368.00       196.      0.613      39.9      28.2 0.1493    0.0051  -29.31
  370  369.00       197.      0.954      62.2       44. 0.1493    0.0094  -22.86
  371  370.00       195.      0.718      46.9      33.2 0.1493    0.0078  -22.89
  372  371.00       193.      0.558      36.5      25.8 0.1493    0.0063  -22.89
  373  372.00       193.      0.511      33.4      23.6 0.1493    0.0053  -22.89
